	Gene1	Gene2	EdgeWeight
669	Rpl14	Cfl1	16.78962796597471
668	Top2a	Mcm10	16.78962796597471
667	Apobec3	Exosc2	16.78962796597471
666	Rps11	Clpp	16.78962796597471
665	Mrpl1	Il13ra1	16.78962796597471
664	Cfl1	Rpl8	16.78962796597471
663	Rps27l	Rpl36a	16.78962796597471
662	Sec63	Smyd4	16.78962796597471
641	Phb	Uba52	16.78962796597471
645	Poldip3	Gm20342	16.78962796597471
639	Snrpf	Spout1	16.78962796597471
620	Larp1b	Prkra	16.78962796597471
618	Atp5pb	Rps8	16.78962796597471
617	Rrp36	Lrrc4	16.78962796597471
616	Rrp36	Snrpf	16.78962796597471
