Gene stable ID	Gene Name	ZFIN ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
ENSDARG00000004105	tie1	ZDB-GENE-990415-55	tie1	30746	protein_coding
ENSDARG00000060252	mogs	ZDB-GENE-070112-412	mogs	567913	protein_coding
ENSDARG00000020228	usf2	ZDB-GENE-030131-8475	usf2	567297	protein_coding
ENSDARG00000000212	krt97	ZDB-GENE-040718-78	krt97	436656	protein_coding
ENSDARG00000008105	mettl2a	ZDB-GENE-050417-462	mettl2a	100006618	protein_coding
ENSDARG00000098616	ly6m4	ZDB-GENE-131127-479			protein_coding
ENSDARG00000007755	wdr61	ZDB-GENE-040426-1851	wdr61	393827	protein_coding
ENSDARG00000009402	si:ch211-210b2.2	ZDB-GENE-131118-33	si:ch211-210b2.2	100535998	protein_coding
ENSDARG00000068650	fam214b	ZDB-GENE-060526-330	fam214b	110437751	protein_coding
ENSDARG00000100236	cspp1a	ZDB-GENE-120709-73	cspp1	103909748	protein_coding
ENSDARG00000105477	si:dkey-88n24.12	ZDB-GENE-160113-128	LOC553259	553259	protein_coding
ENSDARG00000096799	BX004803.1				lncRNA
ENSDARG00000097476	CR396585.1				lncRNA
ENSDARG00000004325	casp9	ZDB-GENE-030825-5	casp9	492763	protein_coding
ENSDARG00000044216	fto	ZDB-GENE-061108-1	fto	553363	protein_coding
ENSDARG00000059322	topbp1	ZDB-GENE-060626-1	topbp1	407679	protein_coding
ENSDARG00000055565	cacnb2b	ZDB-GENE-050208-129	cacnb2b	558806	protein_coding
ENSDARG00000003235	nup88	ZDB-GENE-050522-297	nup88	321744	protein_coding
ENSDARG00000059035	porb	ZDB-GENE-030131-5767	porb	327556	protein_coding
ENSDARG00000095608	si:dkey-57k2.6	ZDB-GENE-070912-558			protein_coding
ENSDARG00000090496	thsd7ab	ZDB-GENE-130530-999	LOC101883726	101883726	protein_coding
ENSDARG00000039500	si:cabz01090165.1	ZDB-GENE-140106-33	si:cabz01090165.1	100333421	protein_coding
ENSDARG00000100969	tmprss13a	ZDB-GENE-090309-3	tmprss13a	559754	protein_coding
ENSDARG00000045105	foxn2b	ZDB-GENE-050417-1	foxn2b	550127	protein_coding
ENSDARG00000074989	sparcl1	ZDB-GENE-060130-6	sparcl1	567331	protein_coding
ENSDARG00000021924	hsp70.3	ZDB-GENE-110713-1	hsp70.3	30671	protein_coding
ENSDARG00000070432	ino80	ZDB-GENE-041014-72	ino80	566768	protein_coding
ENSDARG00000097529	CR847983.1				lncRNA
ENSDARG00000057743	si:dkey-10f21.4	ZDB-GENE-070912-350	si:dkey-10f21.4	100137126	protein_coding
ENSDARG00000001578	echs1	ZDB-GENE-030616-617	echs1	368912	protein_coding
ENSDARG00000079791	si:ch211-176g6.2	ZDB-GENE-121214-224	si:ch211-176g6.2	572157	protein_coding
ENSDARG00000002656	stxbp5a	ZDB-GENE-041001-161	stxbp5a	556789	protein_coding
ENSDARG00000091931	gpatch4	ZDB-GENE-041008-158	gpatch4	555692	protein_coding
