Gene stable ID	Gene Name	NCBI gene (formerly Entrezgene) ID	Type
WBGene00012335	W07G4.1	189283	protein_coding
WBGene00012336	W07G4.2	189284	protein_coding
WBGene00012337	scyl-1	179789	protein_coding
WBGene00012339	W07G4.5	179791	protein_coding
WBGene00012340	dct-15	189289	protein_coding
WBGene00012341	catp-6	177822	protein_coding
WBGene00012342	mtr-4	177824	protein_coding
WBGene00012343	casc-3	173203	protein_coding
WBGene00012344	ola-1	173205	protein_coding
WBGene00012345	W08E3.4	189290	protein_coding
WBGene00012346	W08G11.1	180099	protein_coding
WBGene00012347	W08G11.3	189304	protein_coding
WBGene00012348	pptr-1	180100	protein_coding
WBGene00012349	W08G11.5	3565418	protein_coding
WBGene00012351	W09C5.1	173232	protein_coding
WBGene00012352	dkf-1	173234	protein_coding
WBGene00012353	sac-2	173236	protein_coding
WBGene00012354	cox-4	173237	protein_coding
WBGene00012355	WBGene00012355		pseudogene
WBGene00012356	W09D6.1	176537	protein_coding
WBGene00012357	W09D6.4	176538	protein_coding
WBGene00012358	W09D6.5	176539	protein_coding
WBGene00012359	W09D10.1	176499	protein_coding
WBGene00012360	tat-3	176498	protein_coding
WBGene00012361	mrpl-12	176495	protein_coding
WBGene00012362	W09D10.4	176497	protein_coding
WBGene00012363	W09D10.5	176496	protein_coding
WBGene00012364	zmp-4	179991	protein_coding
WBGene00012365	W09G3.1	173250	protein_coding
WBGene00012366	maea-1	173248	protein_coding
WBGene00012368	WBGene00012368		pseudogene
WBGene00012369	W09G3.6	173249	protein_coding
WBGene00012370	W09G3.7	173245	protein_coding
WBGene00012371	W09G3.8	3565298	protein_coding
WBGene00012372	W09H1.1	174961	protein_coding
WBGene00012373	W09H1.3	174962	protein_coding
WBGene00012374	W09H1.4	189328	protein_coding
WBGene00012375	mecr-1	174963	protein_coding
WBGene00012376	nduf-7	172734	protein_coding
WBGene00012378	W10G6.1	189335	protein_coding
WBGene00012379	Y1A5A.1	175515	protein_coding
WBGene00012381	Y2H9A.4	189352	protein_coding
WBGene00012382	ttr-16	178002	protein_coding
WBGene00012383	ttr-17	178003	protein_coding
WBGene00012384	WBGene00012384		pseudogene
WBGene00012385	Y5F2A.4	178004	protein_coding
WBGene00012386	agef-1	173231	protein_coding
WBGene00012387	Y6B3B.1	189366	protein_coding
WBGene00012388	WBGene00012388		pseudogene
WBGene00012389	Y6B3B.4	189368	protein_coding
WBGene00012390	gpap-1	173241	protein_coding
WBGene00012391	Y6B3B.7	189369	protein_coding
WBGene00012393	Y6B3B.9	173239	protein_coding
WBGene00012394	hsd-1	189371	protein_coding
WBGene00012395	Y6D1A.1	174818	protein_coding
WBGene00012396	Y6D1A.2	174817	protein_coding
WBGene00012397	Y6E2A.1	189372	protein_coding
WBGene00012398	Y6E2A.4	189374	protein_coding
WBGene00012399	Y6E2A.5	189376	protein_coding
WBGene00012400	Y6E2A.7	189378	protein_coding
WBGene00012401	irld-57	189379	protein_coding
WBGene00012402	sfxn-1.3	180055	protein_coding
WBGene00012403	WBGene00012403		pseudogene
WBGene00012404	Y6G8.2	180157	protein_coding
WBGene00012405	ztf-25	180158	protein_coding
WBGene00012406	srz-91	3565033	protein_coding
WBGene00012407	Y7A5A.1	181666	protein_coding
WBGene00012408	Y7A5A.2	189381	protein_coding
WBGene00012409	Y7A5A.3	189382	protein_coding
WBGene00012411	Y7A5A.5	189384	protein_coding
WBGene00012412	Y7A5A.6	42101362	protein_coding
WBGene00012413	Y7A5A.7	189386	protein_coding
WBGene00012414	Y7A5A.8	189387	protein_coding
WBGene00012415	Y7A5A.9	189388	protein_coding
WBGene00012416	Y7A9A.1	178453	protein_coding
