Gene stable ID	Gene Name	GenBank ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
FBgn0085455	CG34426		5740622	5740622	protein_coding
FBgn0011666	msi	CZ485958	43087	43087	protein_coding
FBgn0033589	CG13227	BI620390	36179	36179	protein_coding
FBgn0051088	CG31088	BF494894	318590	318590	protein_coding
FBgn0011230	poe	AQ026494	46243	46243	protein_coding
FBgn0051774	fred	AY863586	33613	33613	protein_coding
FBgn0034913	Snap29	AW941529	37774	37774	protein_coding
FBgn0003149	Prm	X58722	39002	39002	protein_coding
FBgn0263650	lncRNA:CR43641		14462467	14462467	lncRNA
FBgn0264786	lncRNA:CR44016		14462391	14462391	lncRNA
FBgn0035263	CG12035	AY113200	38217	38217	protein_coding
FBgn0000044	Act57B	AW941569	37368	37368	protein_coding
FBgn0031717	Oscillin	AI297060	33783	33783	protein_coding
FBgn0036329	CG11262	BF495944	39471	39471	protein_coding
FBgn0050280	CG30280		37522	37522	protein_coding
FBgn0001105	Gbeta13F	AQ025377	32544	32544	protein_coding
FBgn0260475	CG30059	AX154673	246425	246425	protein_coding
FBgn0266745	CG45218		19836177	19836177	protein_coding
FBgn0038735	MICU3	BT003178	42357	42357	protein_coding
FBgn0033400	CG2063	AI294369	35952	35952	protein_coding
FBgn0264560	garz	BF506003	36337	36337	protein_coding
FBgn0031476	CG8813	AY060808	33490	33490	protein_coding
FBgn0267317	lncRNA:CR45753		19835498	19835498	lncRNA
FBgn0267400	lncRNA:CR45762		26067108	26067108	lncRNA
FBgn0051719	RluA-1	CZ482489	34438	34438	protein_coding
FBgn0001995	mRpL4	G01317	49425	49425	protein_coding
FBgn0262405	mir-998		12798503	12798503	sncRNA
FBgn0083941	CG34105		37759	37759	protein_coding
FBgn0034498	CG16868	CZ481754	37298	37298	protein_coding
FBgn0039356	CG5039	AI455600	43100	43100	protein_coding
FBgn0038917	CG6678	AI519457	42581	42581	protein_coding
FBgn0002567	Rab32	AX093982	35940	35940	protein_coding
FBgn0267698	Pak	CZ483486	44039	44039	protein_coding
FBgn0039323	CG10559		43063	43063	protein_coding
FBgn0030836	CG8664	AI259334	32719	32719	protein_coding
FBgn0037583	CG9684	AY119286	41000	41000	protein_coding
FBgn0264719	lncRNA:CR43987		14462880	14462880	lncRNA
FBgn0265908	lncRNA:CR44697		19836217	19836217	lncRNA
FBgn0037008	mTerf3	AY051744	40279	40279	protein_coding
FBgn0035164	CG13901	AY071105	38095	38095	protein_coding
FBgn0025741	PlexA	AF106932	43832	43832	protein_coding
FBgn0262827	CG43198		12797946	12797946	protein_coding
FBgn0004649	yl	U13637	32367	32367	protein_coding
FBgn0034931	CG2812	BI236056	37801	37801	protein_coding
FBgn0031985	mon2	AI238012	326157	326157	protein_coding
FBgn0035336	CG9004	CZ469813	38303	38303	protein_coding
FBgn0031603	CG15432		33647	33647	protein_coding
FBgn0038446	CG14903	CZ467736	42014	42014	protein_coding
FBgn0035099	CG6845	AA817175	38019	38019	protein_coding
FBgn0265306	lncRNA:CR44279		19835711	19835711	lncRNA
FBgn0020556	lncRNA:bxd	M27988	3772220	3772220	lncRNA
FBgn0034063	CG8389	CZ482506	36764	36764	protein_coding
FBgn0023216	Parg	AW943614	31329	31329	protein_coding
FBgn0038631	CG7695		42234	42234	protein_coding
FBgn0032860	CG15130	AC006402	35312	35312	protein_coding
FBgn0250842	CG17575	BF506064	36414	36414	protein_coding
FBgn0003008	or	AF228056	43943	43943	protein_coding
