Gene stable ID	Gene Name	Xenbase ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
ENSXETG00000042529	ENSXETG00000042529				protein_coding
ENSXETG00000018746	epha7	XB-GENE-488635	epha7	100486526	protein_coding
ENSXETG00000043533	ENSXETG00000043533				protein_coding
ENSXETG00000015660	gal3st2	XB-GENE-6049786	gal3st2	100487128	protein_coding
ENSXETG00000012997	peli1	XB-GENE-992979	peli1	100125008	protein_coding
ENSXETG00000046961	ENSXETG00000046961				protein_coding
ENSXETG00000038906	ENSXETG00000038906		LOC101734831	101734831	protein_coding
ENSXETG00000045202	ENSXETG00000045202				protein_coding
ENSXETG00000033800	sac3d1	XB-GENE-990220	sac3d1	100489268	protein_coding
ENSXETG00000006865	emp1	XB-GENE-970892	emp1	100216276	protein_coding
ENSXETG00000023609	cd9	XB-GENE-949525	cd9	549743	protein_coding
ENSXETG00000019052	ing2	XB-GENE-951849	ing2	549798	protein_coding
ENSXETG00000039804	ENSXETG00000039804				protein_coding
ENSXETG00000042546	ENSXETG00000042546				protein_coding
ENSXETG00000049467	ENSXETG00000049467				protein_coding
ENSXETG00000032419	ENSXETG00000032419				protein_coding
ENSXETG00000046997	ENSXETG00000046997				pseudogene
ENSXETG00000047177	DUSP10		dusp10	101731867	protein_coding
ENSXETG00000030446	tlrs5	XB-GENE-22201327	tlrs5	100489423	protein_coding
ENSXETG00000033942	cnst	XB-GENE-998061	cnst	100494682	protein_coding
ENSXETG00000043729	ENSXETG00000043729				protein_coding
ENSXETG00000043509	ENSXETG00000043509				pseudogene
ENSXETG00000040384	ENSXETG00000040384		LOC108645256	108645256	protein_coding
ENSXETG00000044309	ENSXETG00000044309				protein_coding
ENSXETG00000004376	col8a2	XB-GENE-961197	col8a2	100486732	protein_coding
ENSXETG00000030602	grin2b	XB-GENE-949327	grin2b	100490580	protein_coding
ENSXETG00000039003	mc2r	XB-GENE-484146	mc2r	100491330	protein_coding
ENSXETG00000036278	ENSXETG00000036278		LOC101732829	101732829	protein_coding
ENSXETG00000042891	ENSXETG00000042891				protein_coding
ENSXETG00000030781	iqcg	XB-GENE-5885265	iqcg	100379856	protein_coding
ENSXETG00000043900	ENSXETG00000043900				pseudogene
ENSXETG00000044586	ENSXETG00000044586		LOC101733172	101733172	protein_coding
ENSXETG00000047751	ENSXETG00000047751				protein_coding
ENSXETG00000048399	ENSXETG00000048399				protein_coding
ENSXETG00000019049	cdkn2aip	XB-GENE-984876	cdkn2aip	100379748	protein_coding
ENSXETG00000045204	ENSXETG00000045204				pseudogene
ENSXETG00000044277	inpp5d	XB-GENE-6071358	inpp5d	100497417	protein_coding
ENSXETG00000045997	ENSXETG00000045997				protein_coding
ENSXETG00000030966	sia2	XB-GENE-482070	sia2	100489935	protein_coding
ENSXETG00000002224	xpo1	XB-GENE-993240	xpo1	100380168	protein_coding
ENSXETG00000013000	vps54	XB-GENE-1013521	vps54	100380095	protein_coding
ENSXETG00000047574	ENSXETG00000047574				protein_coding
ENSXETG00000049228	ENSXETG00000049228		LOC101732395	101732395	protein_coding
ENSXETG00000042218	ENSXETG00000042218				pseudogene
ENSXETG00000044381	ENSXETG00000044381				protein_coding
ENSXETG00000048009	socs5	XB-GENE-479593	socs5	549598	protein_coding
ENSXETG00000026977	med1l	XB-GENE-479809	med1l	779622	protein_coding
ENSXETG00000044701	ENSXETG00000044701				protein_coding
ENSXETG00000017884	psmd7	XB-GENE-1005422	psmd7	447971	protein_coding
ENSXETG00000046497	ENSXETG00000046497				protein_coding
ENSXETG00000031133	sema3e	XB-GENE-922952	sema3e	100494277	protein_coding
ENSXETG00000049289	ENSXETG00000049289				pseudogene
ENSXETG00000042511	ENSXETG00000042511				protein_coding
ENSXETG00000043768	ENSXETG00000043768		LOC116408725	116408725	protein_coding
ENSXETG00000027871	rpl35a	XB-GENE-1016058	rpl35a	448717	protein_coding
ENSXETG00000049202	ENSXETG00000049202				protein_coding
ENSXETG00000043935	ENSXETG00000043935				protein_coding
ENSXETG00000045297	ENSXETG00000045297				protein_coding
ENSXETG00000042680	ENSXETG00000042680				pseudogene
ENSXETG00000035346	ENSXETG00000035346		LOC108644858	108644858	protein_coding
ENSXETG00000035728	sst.1	XB-GENE-491021	sst.1	100037904	protein_coding
ENSXETG00000034028	ENSXETG00000034028		cldn22	100485528	protein_coding
ENSXETG00000043921	ENSXETG00000043921				pseudogene
ENSXETG00000039862	ENSXETG00000039862				protein_coding
ENSXETG00000035170	ENSXETG00000035170		LOC101734993	101734993	protein_coding
ENSXETG00000036806	prop1	XB-GENE-22068967	prop1	101734397	protein_coding
ENSXETG00000044500	ENSXETG00000044500				protein_coding
ENSXETG00000008792	ENSXETG00000008792				protein_coding
ENSXETG00000043658	ENSXETG00000043658				protein_coding
ENSXETG00000049029	ENSXETG00000049029		LOC100498128	100498128	protein_coding
ENSXETG00000043257	ENSXETG00000043257				pseudogene
ENSXETG00000013776	tmem87b	XB-GENE-963260	tmem87b	548811	protein_coding
ENSXETG00000039732	ENSXETG00000039732				protein_coding
ENSXETG00000037336	ENSXETG00000037336				protein_coding
ENSXETG00000048876	ENSXETG00000048876				protein_coding
ENSXETG00000024956	ctsd	XB-GENE-5906945	ctsd	394561	protein_coding
ENSXETG00000046018	ENSXETG00000046018				pseudogene
ENSXETG00000033960	c2orf72	XB-GENE-22068094	c2orf72	100498583	protein_coding
ENSXETG00000015912	ENSXETG00000015912		LOC100493748	100493748	protein_coding
ENSXETG00000023299	capn1	XB-GENE-990196	capn1	541455	protein_coding
ENSXETG00000002733	ENSXETG00000002733		LOC100488668	100488668	protein_coding
ENSXETG00000012711	ppargc1b	XB-GENE-1004403	ppargc1b	100488947	protein_coding
ENSXETG00000042449	ENSXETG00000042449				protein_coding
ENSXETG00000023591	vwf	XB-GENE-921798	vwf	100492314	protein_coding
ENSXETG00000041831	ENSXETG00000041831				protein_coding
ENSXETG00000039679	cracdl	XB-GENE-6468408	cracdl	100494004	protein_coding
ENSXETG00000048172	ENSXETG00000048172				pseudogene
ENSXETG00000047843	ENSXETG00000047843				protein_coding
ENSXETG00000003454	xxylt1	XB-GENE-5831761	xxylt1	100495920	protein_coding
ENSXETG00000035368	ENSXETG00000035368				protein_coding
ENSXETG00000045320	ENSXETG00000045320		LOC100490281	100490281	protein_coding
ENSXETG00000003254	mast2	XB-GENE-997933	mast2	779595	protein_coding
ENSXETG00000033558	aqp12a	XB-GENE-481663	aqp12a	100485225	protein_coding
ENSXETG00000043877	ENSXETG00000043877				pseudogene
ENSXETG00000011255	cdt1	XB-GENE-1014888	cdt1	100379812	protein_coding
ENSXETG00000041599	ENSXETG00000041599				protein_coding
ENSXETG00000048293	ENSXETG00000048293				protein_coding
ENSXETG00000043320	ENSXETG00000043320				protein_coding
ENSXETG00000013007	ugp2	XB-GENE-974407	ugp2	493237	protein_coding
ENSXETG00000022746	ttc7a	XB-GENE-949570	ttc7a	100497629	protein_coding
ENSXETG00000044248	ENSXETG00000044248				pseudogene
ENSXETG00000003838	matr3	XB-GENE-983586	matr3	448495	protein_coding
