Gene stable ID	Gene Name	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
AT2G45170	ATG8E	ATG8E	819125	protein_coding
AT2G45710	AT2G45710	AT2G45710	819179	protein_coding
AT4G28580	MGT5	MGT5	828976	protein_coding
AT1G14940	AT1G14940	AT1G14940	838059	protein_coding
AT3G21970	AT3G21970	AT3G21970	821756	protein_coding
AT5G15850	COL1	COL1	831442	protein_coding
AT2G17670	AT2G17670	AT2G17670	816274	protein_coding
AT3G03660	WOX11	WOX11	821196	protein_coding
AT5G28380	AT5G28380	AT5G28380	832923	protein_coding
AT3G17560	AT3G17560	AT3G17560	821022	protein_coding
AT5G10310	AT5G10310	AT5G10310	830895	protein_coding
AT3G61420	AT3G61420	AT3G61420	825315	protein_coding
AT5G24900	CYP714A2	CYP714A2	832559	protein_coding
AT1G74770	AT1G74770	AT1G74770	843816	protein_coding
AT1G27880	AT1G27880	AT1G27880	839681	protein_coding
AT1G72190	AT1G72190	AT1G72190	843551	protein_coding
AT1G01810	AT1G01810	AT1G01810	839247	protein_coding
AT2G45850	AT2G45850	AT2G45850	819193	protein_coding
AT4G10840	KLCR1	KLCR1	826680	protein_coding
AT5G44180	RLT2	RLT2	834441	protein_coding
AT4G26330	UNE17	UNE17	828739	protein_coding
AT5G38430	RBCS1B	RBCS1B	833830	protein_coding
AT4G33350	Tic22-IV	Tic22-IV	829471	protein_coding
AT3G57320	AT3G57320	AT3G57320	824899	protein_coding
AT4G16920	AT4G16920	AT4G16920	827400	protein_coding
AT4G34040	MBR2	MBR2	829550	protein_coding
AT1G03330	LSM2	LSM2	839526	protein_coding
AT5G15470	GAUT14	GAUT14	831400	protein_coding
AT1G79610	NHX6	NHX6	844299	protein_coding
AT2G01810	AT2G01810	AT2G01810	814712	protein_coding
AT4G33450	MYB69	MYB69	829482	protein_coding
AT3G45480	AT3G45480	AT3G45480	823688	protein_coding
AT5G62940	HCA2	HCA2	836414	protein_coding
AT5G43960	AT5G43960	AT5G43960	834419	protein_coding
AT5G16430	AT5G16430	AT5G16430	831504	protein_coding
AT5G39560	AT5G39560	AT5G39560	833952	protein_coding
AT2G26930	CDPMEK	CDPMEK	817234	protein_coding
AT4G14276	AT4G14276	AT4G14276	3769852	protein_coding
AT2G36410	AT2G36410	AT2G36410	818215	protein_coding
AT3G45080	AT3G45080	AT3G45080	823643	protein_coding
AT2G03090	EXPA15	EXPA15	814838	protein_coding
AT2G38995	AT2G38995	AT2G38995	818485	protein_coding
AT2G47030	VGDH1	VGDH1	819317	protein_coding
AT1G74055	AT1G74055	AT1G74055	843745	protein_coding
AT4G12825	AT4G12825	AT4G12825	5008135	protein_coding
AT1G26710	AT1G26710	AT1G26710	839212	protein_coding
AT4G34110	PAB2	PAB2	829557	protein_coding
AT1G68140	AT1G68140	AT1G68140	843142	protein_coding
AT3G32940	AT3G32940	AT3G32940	823058	protein_coding
AT5G50140	AT5G50140	AT5G50140	835079	protein_coding
AT4G22070	WRKY31	WRKY31	828296	protein_coding
AT5G60350	AT5G60350	AT5G60350	836157	protein_coding
AT2G22430	HB6	HB6	816775	protein_coding
AT3G03828	AT3G03828	AT3G03828	6241103	protein_coding
AT5G44440	AT5G44440	AT5G44440	834471	protein_coding
AT2G16385	AT2G16385	AT2G16385	2745542	protein_coding
AT3G13940	AT3G13940	AT3G13940	820607	protein_coding
AT4G35270	AT4G35270	AT4G35270	829680	protein_coding
AT4G32190	AT4G32190	AT4G32190	829352	protein_coding
AT4G05040	AT4G05040	AT4G05040	825846	protein_coding
AT1G05550	AT1G05550	AT1G05550	837057	protein_coding
AT1G30080	AT1G30080	AT1G30080	839887	protein_coding
AT1G64370	AT1G64370	AT1G64370	842744	protein_coding
AT2G41120	AT2G41120	AT2G41120	818711	protein_coding
AT3G11010	RLP34	RLP34	820272	protein_coding
AT1G33475	AT1G33475	AT1G33475	840241	protein_coding
AT3G57770	AT3G57770	AT3G57770	824946	protein_coding
AT5G46825	AT5G46825	AT5G46825	28721257	protein_coding
AT3G62370	AT3G62370	AT3G62370	825410	protein_coding
AT1G80620	AT1G80620	AT1G80620	844401	protein_coding
AT1G13140	CYP86C3	CYP86C3	837871	protein_coding
AT1G11060	AT1G11060	AT1G11060	837647	protein_coding
